input1,input2,input3,input4,input5,input6,output,usable
377.0,0.1,0.1,9.99,9.99,0.1,0.06259763197378992,True
378.0,1.0,0.5,1.0,1.0,0.01,0.09515253778493088,True
379.0,0.1,0.5,0.1,0.01,1.0,-2.4154455313316063,True
380.0,0.5,1.0,1.0,0.01,1.0,0.6125228059509397,False
381.0,0.1,0.1,9.99,9.99,1.0,0.5522327820881582,True
382.0,0.001,0.1,1.0,0.0,0.1,1.4975070449785393,False
383.0,9.99,0.5,1.0,1.0,1.0,0.02572956650126064,True
384.0,1.0,1.0,1.0,1.0,1.0,0.34054020427038023,True
385.0,1.0,0.1,9.99,1.0,0.1,0.020347835073855486,True
386.0,1.0,1.0,0.0,1.0,0.5,0.084220626592386,True
387.0,9.99,0.5,1.0,9.99,0.5,0.2344479519494459,True
388.0,1.0,1.0,1.0,1.0,0.1,0.11413520198301558,True
389.0,0.0,0.0,0.01,0.01,0.5,-8.020832648407854,True
390.0,9.99,0.1,0.1,0.1,0.1,-0.586799289847048,True
391.0,0.01,1.0,0.01,0.01,0.5,-7.9406556657042255,True
392.0,1.0,1.0,1.0,0.1,0.1,0.840224307258786,True
393.0,0.1,0.5,0.1,0.01,1.0,-4.737596966574035,True
394.0,0.01,0.5,1.0,1.0,0.5,0.058602706903433666,True
395.0,9.99,0.1,9.99,0.0,0.1,0.1280392217122499,True
396.0,0.01,0.1,0.01,0.01,1.0,-7.238542372061232,True
397.0,0.01,1.0,0.01,0.1,0.5,-4.666733972507121,True
398.0,9.99,0.5,0.1,9.99,1.0,0.5626216850769837,True
399.0,0.0,1.0,1.0,0.0,1.0,-1.215015638776646,False
400.0,0.1,0.5,0.1,0.1,1.0,-4.369929041200033,True
401.0,9.99,0.1,9.99,0.0,0.0,-0.7233763582646713,True
402.0,0.01,1.0,0.01,1.0,0.5,0.03137214133997379,True
403.0,1.0,0.5,9.99,1.0,0.5,0.06689496523426003,True
404.0,1.0,0.5,0.01,1.0,1.0,0.27635671203162115,True
405.0,0.01,0.1,0.01,0.01,0.1,-4.1965363298447595,True
406.0,1.0,0.01,1.0,0.01,0.01,-0.6523657622145737,True
407.0,0.1,1.0,0.1,9.99,0.5,0.2707456977974883,True
408.0,1.0,0.5,9.99,9.99,1.0,0.4548081483474085,True
409.0,9.99,0.1,9.99,0.01,1.0,-4.164859677629106,True
410.0,9.99,0.1,1.0,9.99,0.1,0.030139946331820128,True
411.0,0.01,0.1,0.01,0.01,1.0,-4.507124447830859,True
412.0,1.0,1.0,0.1,0.1,0.5,0.3248203943805127,True
413.0,0.01,1.0,0.01,0.1,0.5,-2.8510858173926756,True
414.0,0.1,0.5,9.99,0.1,1.0,-2.699457241058761,True
415.0,9.99,0.1,1.0,9.99,1.0,0.1787238522735427,True
416.0,9.99,0.5,9.99,9.99,1.0,0.7691620825153402,True
417.0,1.0,1.0,0.1,1.0,0.5,0.06361911898558331,True
418.0,9.99,0.1,9.99,0.01,0.1,-0.6654079315707633,True
419.0,0.01,1.0,0.0,0.0,0.0,-9.429292312442293,True
420.0,1.0,1.0,0.01,1.0,0.01,0.20001289079092044,True
421.0,0.01,0.1,0.01,0.01,0.1,-7.172427944893114,True
422.0,9.99,1.0,9.99,0.1,0.5,-0.4582206813515389,True
423.0,1.0,0.5,1.0,0.0,0.0,1.0593940128181059,True
424.0,0.0,0.0,0.0,9.99,1.0,0.87549210437452,True
425.0,0.1,0.1,0.0,0.0,0.0,-1.7159570308934153,True
426.0,0.0,0.1,1.0,0.0,0.1,-1.215015638776646,False
427.0,0.1,0.1,9.99,0.1,1.0,-0.09263458646901174,False
428.0,0.01,1.0,1.0,1.0,0.01,-0.0911731435889393,True
429.0,0.01,0.5,9.99,0.01,0.5,-6.075501897281297,True
430.0,0.1,1.0,0.01,0.01,1.0,-5.791328467370368,True
431.0,0.01,0.5,0.01,0.01,1.0,-0.3787506753321761,False
432.0,1.0,0.1,1.0,0.01,0.1,0.6939004157466094,True
433.0,9.99,0.5,0.01,0.01,0.5,-0.022548529772588838,True
434.0,1.0,1.0,1.0,9.99,0.1,0.02919260205592135,True
435.0,9.99,0.5,9.99,0.01,1.0,-0.04853286781699395,False
436.0,0.1,1.0,0.1,0.5,1.0,-0.3904539767089323,True
437.0,0.1,1.0,0.01,0.01,0.1,-1.8498445056539379,True
438.0,0.01,0.5,0.01,0.0,0.0,-7.791317548000402,True
439.0,9.99,0.1,0.1,9.99,0.1,0.036643881996430455,True
440.0,1.0,1.0,1.0,0.1,0.5,0.11033047779561905,True
441.0,1.0,1.0,1.0,9.99,1.0,0.19426861284913008,True
442.0,1.0,0.1,1.0,0.01,1.0,0.2325799965851405,False
443.0,1.0,1.0,1.0,1.0,0.5,0.0693549848391947,True
444.0,9.99,0.1,0.1,9.99,1.0,0.1632042710351393,True
445.0,0.1,1.0,0.01,0.01,1.0,-2.5920326968744276,True
446.0,0.01,0.5,1.0,1.0,1.0,0.17292527631212165,True
447.0,0.1,0.1,0.1,0.0,0.1,-0.3445843369878532,True
448.0,0.0,0.0,0.0,9.99,0.1,0.059010142171290525,True
449.0,0.1,1.0,0.01,0.01,0.1,-5.385529226373384,True
450.0,0.01,0.01,0.01,0.01,0.01,-0.23696357941715718,False
451.0,0.1,0.1,9.99,0.1,0.1,0.0844287515076183,False
452.0,0.1,0.1,0.1,9.99,0.1,0.024491413307869483,True
453.0,0.1,0.5,0.01,0.01,0.5,-5.286380273374947,True
454.0,0.01,1.0,9.99,0.01,1.0,-6.30168598012399,True
455.0,0.01,0.1,1.0,0.01,0.1,-0.19623378618894483,False
456.0,0.01,1.0,0.01,0.01,0.5,0.5881533029153705,False
457.0,9.99,1.0,0.01,0.01,1.0,0.1622856086138303,True
458.0,9.99,1.0,9.99,0.01,0.5,-0.4085635772453703,False
459.0,0.0,0.0,0.0,0.1,1.0,-3.026447084735565,True
460.0,1.0,1.0,1.0,1.0,0.01,0.6917835999798297,True
461.0,9.99,0.1,9.99,0.1,1.0,-0.008382138530375949,False
462.0,0.1,0.5,0.1,0.0,0.0,-3.185840746580873,True
463.0,9.99,0.1,9.99,1.0,1.0,0.07211072392699713,True
464.0,1.0,0.5,1.0,1.0,0.1,0.04215699547047552,True
465.0,0.0,0.1,0.0,1.0,0.1,-0.11420916289630223,True
466.0,1.0,0.01,0.01,0.01,0.01,0.8463412749848209,True
467.0,1.0,0.5,1.0,0.1,1.0,0.018616026884338333,True
468.0,9.99,0.1,9.99,0.1,0.1,-0.03236069417108975,False
469.0,0.0,0.0,0.0,0.1,0.1,-2.922752751360977,True
470.0,1.0,0.5,1.0,9.99,0.5,0.08403893803822175,True
471.0,9.99,1.0,0.01,0.01,0.1,0.463303466372237,True
472.0,1.0,0.5,1.0,1.0,1.0,0.15145209300055834,True
473.0,9.99,0.1,9.99,1.0,0.1,-0.0023760691118677735,True
474.0,0.1,0.5,0.01,0.01,0.5,-2.3927404109310033,True
475.0,0.0,0.0,1.0,1.0,0.5,0.09723861513745316,True
476.0,0.1,0.1,0.1,9.99,1.0,0.16281500653961362,True
477.0,0.01,1.0,1.0,1.0,0.5,0.1230945179378924,True
478.0,1.0,1.0,1.0,1.0,0.01,0.6203677842890611,True
479.0,0.01,0.1,1.0,0.01,1.0,-0.12411552132994741,False
480.0,0.01,1.0,9.99,0.01,0.1,-5.882046867660203,True
481.0,0.01,0.01,1.0,0.01,0.01,-5.801543422804388,True
482.0,0.01,0.5,0.01,0.1,1.0,-4.979273190182502,True
483.0,9.99,1.0,0.1,9.99,0.5,0.2609994159841149,True
484.0,0.1,1.0,0.1,0.1,0.5,-3.5362859051402435,True
